Name                      Schedd InQ  Act Startd Run LdAvg Idle Arch      OpSys    
p0073.avidcluster         Down      0   0 Down     0 0.37  9999 AMD64     Linux2   
p0165.avidcluster         Avail     0   0 Idle     0 0.27  9999 AMD64     Linux2   
p0167.avidcluster         Avail     1   1 Idle     0 0.15  9999 AMD64     Linux2   
p0182.avidcluster         Avail    32  29 Idle     0 0.25   535 AMD64     Linux2   
p0253.avidcluster         Avail     0   0 Idle     0 1.05  9999 AMD64     Linux2   
prime0.avidcluster        Avail     0   0 Idle     0 1.87  9999 AMD64     Linux2   
p0001.avidcluster         Avail     0   0 Busy     1 16.30 9999 AMD64     Linux3   
p0002.avidcluster         Avail     0   0 Busy     1 16.28 9999 AMD64     Linux3   
p0003.avidcluster         Avail     0   0 Busy     1 16.22 9999 AMD64     Linux3   
p0004.avidcluster         Avail     0   0 Busy     1 16.35 9999 AMD64     Linux3   
p0005.avidcluster         Avail     0   0 Busy     1 16.43 9999 AMD64     Linux3   
p0006.avidcluster         Avail     0   0 Busy     1 16.29 9999 AMD64     Linux3   
p0007.avidcluster         Avail     0   0 Busy     1 16.26 9999 AMD64     Linux3   
p0008.avidcluster         Avail     0   0 Busy     1 16.38 9999 AMD64     Linux3   
p0009.avidcluster         Avail     0   0 Busy     1 16.11 9999 AMD64     Linux3   
p0010.avidcluster         Avail     0   0 Busy     1 16.08 9999 AMD64     Linux3   
p0011.avidcluster         Avail     0   0 Busy     1 17.24 9999 AMD64     Linux3   
p0012.avidcluster         Avail     0   0 Busy     1 16.23 9999 AMD64     Linux3   
p0013.avidcluster         Avail     0   0 Busy     1 16.47 9999 AMD64     Linux3   
p0014.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0015.avidcluster         Avail     0   0 Busy     1 16.12 9999 AMD64     Linux3   
p0016.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0017.avidcluster         Avail     0   0 Busy     1 16.22 9999 AMD64     Linux3   
p0018.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0019.avidcluster         Avail     0   0 Busy     1 16.23 9999 AMD64     Linux3   
p0020.avidcluster         Avail     0   0 Busy     1 16.36 9999 AMD64     Linux3   
p0021.avidcluster         Avail     0   0 Busy     1 16.22 9999 AMD64     Linux3   
p0022.avidcluster         Avail     0   0 Busy     1 16.08 9999 AMD64     Linux3   
p0023.avidcluster         Avail     0   0 Busy     1 16.34 9999 AMD64     Linux3   
p0024.avidcluster         Avail     0   0 Busy     1 16.23 9999 AMD64     Linux3   
p0025.avidcluster         Avail     0   0 Busy     1 16.12 9999 AMD64     Linux3   
p0026.avidcluster         Avail     0   0 Busy     1 16.01 9999 AMD64     Linux3   
p0027.avidcluster         Avail     0   0 Busy     1 16.10 9999 AMD64     Linux3   
p0028.avidcluster         Avail     0   0 Busy     1 16.15 9999 AMD64     Linux3   
p0043.avidcluster         Avail     0   0 Busy     1 16.15 9999 AMD64     Linux3   
p0044.avidcluster         Avail     0   0 Busy     1 16.05 9999 AMD64     Linux3   
p0045                     Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0045.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0046.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0047.avidcluster         Avail     0   0 Busy     1 16.17 9999 AMD64     Linux3   
p0048                     Avail     0   0 Busy     1 16.03 9999 AMD64     Linux3   
p0048.avidcluster         Avail     0   0 Busy     1 16.03 9999 AMD64     Linux3   
p0049.avidcluster         Avail     0   0 Busy     1 16.07 9999 AMD64     Linux3   
p0050.avidcluster         Avail     0   0 Idle     0 16.11 9999 AMD64     Linux3   
p0051.avidcluster         Avail     0   0 Idle     0 16.36 9999 AMD64     Linux3   
p0052.avidcluster         Avail     0   0 Idle     0 16.03 9999 AMD64     Linux3   
p0053.avidcluster         Avail     0   0 Idle     0 16.10 9999 AMD64     Linux3   
p0054.avidcluster         Avail     0   0 Idle     0 16.11 9999 AMD64     Linux3   
p0055.avidcluster         Avail     0   0 Idle     0 16.08 9999 AMD64     Linux3   
p0056.avidcluster         Avail     0   0 Idle     0 16.24 9999 AMD64     Linux3   
p0057.avidcluster         Avail     0   0 Idle     0 16.24 9999 AMD64     Linux3   
p0058.avidcluster         Avail     0   0 Idle     0 16.11 9999 AMD64     Linux3   
p0059.avidcluster         Avail     0   0 Idle     0 16.47 9999 AMD64     Linux3   
p0060.avidcluster         Avail     0   0 Idle     0 16.06 9999 AMD64     Linux3   
p0061.avidcluster         Avail     0   0 Idle     0 16.35 9999 AMD64     Linux3   
p0062.avidcluster         Avail     0   0 Idle     0 16.32 9999 AMD64     Linux3   
p0063.avidcluster         Avail     0   0 Idle     0 16.08 9999 AMD64     Linux3   
p0064.avidcluster         Avail     0   0 Idle     0 16.06 9999 AMD64     Linux3   
p0065.avidcluster         Avail     0   0 Idle     0 16.55 9999 AMD64     Linux3   
p0066.avidcluster         Avail     0   0 Idle     0 16.41 9999 AMD64     Linux3   
p0067.avidcluster         Avail     0   0 Idle     0 16.46 9999 AMD64     Linux3   
p0068.avidcluster         Avail     0   0 Idle     0 16.03 9999 AMD64     Linux3   
p0069.avidcluster         Avail     0   0 Idle     0 16.41 9999 AMD64     Linux3   
p0070.avidcluster         Avail     0   0 Idle     0 16.10 9999 AMD64     Linux3   
p0078.avidcluster         Avail     0   0 Busy     1 1.02  9999 AMD64     Linux3   
p0079.avidcluster         Avail     0   0 Busy     1 12.26 9999 AMD64     Linux3   
p0080.avidcluster         Avail     0   0 Busy     1 12.22 9999 AMD64     Linux3   
p0081.avidcluster         Avail     0   0 Busy     1 12.12 9999 AMD64     Linux3   
p0082.avidcluster         Avail     0   0 Busy     1 12.23 9999 AMD64     Linux3   
p0083.avidcluster         Avail     0   0 Busy     1 12.01 9999 AMD64     Linux3   
p0084.avidcluster         Avail     0   0 Busy     1 12.18 9999 AMD64     Linux3   
p0085.avidcluster         Avail     0   0 Busy     1 12.13 9999 AMD64     Linux3   
p0086.avidcluster         Avail     0   0 Busy     1 12.21 9999 AMD64     Linux3   
p0087.avidcluster         Avail     0   0 Busy     1 12.38 9999 AMD64     Linux3   
p0088.avidcluster         Avail     0   0 Busy     1 12.31 9999 AMD64     Linux3   
p0089.avidcluster         Avail     0   0 Busy     1 12.20 9999 AMD64     Linux3   
p0090.avidcluster         Avail     0   0 Busy     1 12.20 9999 AMD64     Linux3   
p0091.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0092.avidcluster         Avail     0   0 Busy     1 12.10 9999 AMD64     Linux3   
p0093.avidcluster         Avail     0   0 Busy     1 12.33 9999 AMD64     Linux3   
p0094.avidcluster         Avail     0   0 Busy     1 12.05 9999 AMD64     Linux3   
p0095.avidcluster         Avail     0   0 Busy     1 12.28 9999 AMD64     Linux3   
p0096.avidcluster         Avail     0   0 Busy     1 12.46 9999 AMD64     Linux3   
p0098.avidcluster         Avail     0   0 Busy     1 12.07 9999 AMD64     Linux3   
p0099.avidcluster         Avail     0   0 Busy     1 12.10 9999 AMD64     Linux3   
p0100.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0101.avidcluster         Avail     0   0 Busy     1 1.19  9999 AMD64     Linux3   
p0102.avidcluster         Avail     0   0 Busy     1 1.00  9999 AMD64     Linux3   
p0103.avidcluster         Avail     0   0 Busy     1 12.24 9999 AMD64     Linux3   
p0104.avidcluster         Avail     0   0 Busy     1 12.08 9999 AMD64     Linux3   
p0105.avidcluster         Avail     0   0 Busy     1 12.29 9999 AMD64     Linux3   
p0106.avidcluster         Avail     0   0 Busy     1 12.29 9999 AMD64     Linux3   
p0107.avidcluster         Avail     0   0 Busy     1 1.01  9999 AMD64     Linux3   
p0108.avidcluster         Avail     0   0 Busy     1 12.31 9999 AMD64     Linux3   
p0109.avidcluster         Avail     0   0 Busy     1 12.21 9999 AMD64     Linux3   
p0110.avidcluster         Avail     0   0 Busy     1 12.13 9999 AMD64     Linux3   
p0111.avidcluster         Avail     0   0 Busy     1 12.07 9999 AMD64     Linux3   
p0112.avidcluster         Avail     0   0 Busy     1 12.11 9999 AMD64     Linux3   
p0114.avidcluster         Avail     0   0 Busy     1 12.24 9999 AMD64     Linux3   
p0115.avidcluster         Avail     0   0 Busy     1 12.16 9999 AMD64     Linux3   
p0116.avidcluster         Avail     0   0 Busy     1 12.15 9999 AMD64     Linux3   
p0117.avidcluster         Avail     0   0 Busy     1 12.12 9999 AMD64     Linux3   
p0118                     Avail     0   0 Busy     1 12.15 9999 AMD64     Linux3   
