NAME                WORK         USER        TOTAL        QUOTA GRACE
users/ko201      9880608  32352279520  32362160128  33000062976 none 
users/ko203            0  59227061760  59227061760  57000001536 25 hours 
users/ko204      1006080  23908530176  23909536256  25000001536 none 
users/ko205      3744000  31987742976  31991486976  30000005120 2 days 
users/ko255            0    965046784    965046784   1000030208 none 
users/ko293         1024   8167692288   8167693312  20000014336 none 
users/ko294            0     14322176     14322176    500006912 none 
users/ko299            0  41989997568  41989997568  45000015872 none 
users/ko804  34086142944  56566880800  90653023744  90000015360 6 days 
work/ko-201  37969509792   1754457184  39723966976  42000023552 none 
work/ko-203  44911753728   2522894336  47434648064  50000003072 none 
work/ko-205  23729322432      2178112  23731500544  26000015360 none 
work/ko-213   3577561632          480   3577562112   5500010496 none 
work/ko-293  18850588352    -69616832  18780971520  20000014336 none 
work/ko-504            0   8226279424   8226279424  10000007168 none 
